"","Route","StateNum","matssname","complete","n_missing","prop_missing","n_possible_years","CountryNum","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"43",43,79,"bbs_rtrg_43_79",TRUE,0,0,10,124,"TURTLEFORD",1,53.38795,-109.0284,30,6,1,1
"44",125,79,"bbs_rtrg_125_79",TRUE,0,0,15,124,"BOUNTY",1,51.3145,-107.19899,37,11,1,1
"45",131,79,"bbs_rtrg_131_79",TRUE,0,0,18,124,"BIRCH HILLS",1,52.98742,-105.34151,30,6,1,1
"46",142,79,"bbs_rtrg_142_79",TRUE,0,0,23,124,"EDAM",1,53.27804,-108.62506,30,6,1,1
"47",51,93,"bbs_rtrg_51_93",TRUE,0,0,15,124,"MAYO LANDING",1,63.59103,-135.89342,68,4,1,1
"48",112,93,"bbs_rtrg_112_93",TRUE,0,0,13,124,"MT MCINTYRE",0,60.70657,-135.26615,68,4,1,1
"49",43,2,"bbs_rtrg_43_2",TRUE,0,0,50,840,"BLOCTON",1,33.1156047,-87.1007539,13,27,1,1
"50",47,2,"bbs_rtrg_47_2",TRUE,0,0,38,840,"JENA",1,33.1379607,-87.8205274,4,27,1,1
"51",50,2,"bbs_rtrg_50_2",TRUE,0,0,36,840,"WHITEHALL",1,32.3276808,-86.7118894,4,27,1,1
"52",57,2,"bbs_rtrg_57_2",TRUE,0,0,26,840,"YOUNGTOWN",1,34.4236313,-87.3907904,13,28,1,1
"53",59,2,"bbs_rtrg_59_2",TRUE,0,0,25,840,"CARROLLTON",1,33.2811827,-88.0092154,4,27,1,1
"54",60,2,"bbs_rtrg_60_2",TRUE,0,0,26,840,"HOLT",1,33.2638251,-87.4241383,4,27,1,1
"55",141,2,"bbs_rtrg_141_2",TRUE,0,0,15,840,"ALABAMA PT 2",1,30.2816323,-87.5183917,3,27,1,1
"56",156,2,"bbs_rtrg_156_2",TRUE,0,0,19,840,"KYMULGA",1,33.2905307,-86.3312989,13,28,1,1
"57",212,2,"bbs_rtrg_212_2",TRUE,0,0,22,840,"SEALE",1,32.5033347,-85.2532189,4,27,1,1
"58",41,3,"bbs_rtrg_41_3",TRUE,0,0,35,840,"L SALCHA",1,64.5464143,-146.9948586,25,4,1,1
"59",142,3,"bbs_rtrg_142_3",TRUE,0,0,20,840,"CHENA HOT SPRING 2",1,65.0544087,-146.0599662,25,4,1,1
"60",192,3,"bbs_rtrg_192_3",TRUE,0,0,26,840,"KING SALMON",1,58.6704647,-156.4585984,25,2,1,1
"61",224,3,"bbs_rtrg_224_3",TRUE,0,0,31,840,"ZIMOVIA STRT",1,56.4599307,-132.3798899,94,5,1,1
"62",408,3,"bbs_rtrg_408_3",TRUE,0,0,26,840,"GALBRAITH L.",1,68.4265923,-149.3473217,99,3,1,1
"63",409,3,"bbs_rtrg_409_3",TRUE,0,0,26,840,"HAPPY VALLEY",1,68.8572136,-148.8351789,99,3,1,1
"64",419,3,"bbs_rtrg_419_3",TRUE,0,0,26,840,"MOOSE CREEK",1,65.4883997,-148.65472,25,4,1,1
"65",423,3,"bbs_rtrg_423_3",TRUE,0,0,25,840,"RUBY",1,64.4609377,-155.523896,25,4,1,1
"66",27,6,"bbs_rtrg_27_6",TRUE,0,0,12,840,"COOLIDGE",0,33.0156287,-111.3839189,82,33,1,1
"67",70,6,"bbs_rtrg_70_6",TRUE,0,0,22,840,"PALO VERDE",0,33.3339864,-112.677217,82,33,1,1
"68",78,6,"bbs_rtrg_78_6",TRUE,0,0,26,840,"REDINGTON",1,32.5434377,-110.5053099,81,34,1,1
"69",126,6,"bbs_rtrg_126_6",TRUE,0,0,10,840,"Ajo 2",1,32.4655,-112.86988,82,33,1,1
"70",3,7,"bbs_rtrg_3_7",TRUE,0,0,31,840,"RAMSEY",0,33.9045937,-92.5979989,4,25,1,1
"71",5,7,"bbs_rtrg_5_7",TRUE,0,0,52,840,"STAMPS",1,33.3755757,-93.4706879,4,25,1,1
"72",14,7,"bbs_rtrg_14_7",TRUE,0,0,32,840,"BLAKELY",0,34.6972007,-93.0827549,19,25,1,1
"73",17,7,"bbs_rtrg_17_7",TRUE,0,0,25,840,"WHITTON",0,35.5182337,-90.2869869,5,26,1,1
"74",98,14,"bbs_rtrg_98_14",TRUE,0,0,35,840,"FOLSOM",1,38.7202247,-121.0356899,92,32,1,1
"75",109,14,"bbs_rtrg_109_14",TRUE,0,0,29,840,"CIMA",1,35.1743817,-115.4116059,83,33,1,1
"76",203,14,"bbs_rtrg_203_14",TRUE,0,0,20,840,"LIVERMORE",0,37.6650327,-121.7328649,91,32,1,1
"77",226,14,"bbs_rtrg_226_14",TRUE,0,0,14,840,"ANZA 2",1,33.5014318,-116.7979649,90,32,1,1
"78",411,14,"bbs_rtrg_411_14",TRUE,0,0,14,840,"TOMHEAD",1,40.1803227,-122.8597869,92,32,1,1
"79",414,14,"bbs_rtrg_414_14",TRUE,0,0,15,840,"GOUMAZ",1,40.4392679,-120.8358171,85,15,1,1
"80",31,17,"bbs_rtrg_31_17",TRUE,0,0,31,840,"WRAY GULCH",1,40.0653006,-108.4153871,84,16,1,1
"81",37,17,"bbs_rtrg_37_17",TRUE,0,0,31,840,"WAVERLY",1,40.2631147,-102.7182079,36,18,1,1
"82",44,17,"bbs_rtrg_44_17",TRUE,0,0,30,840,"BETHUNE",1,39.3883077,-102.4274519,36,18,1,1
"83",207,17,"bbs_rtrg_207_17",TRUE,0,0,27,840,"AMHERST",1,40.6141447,-102.0845649,36,18,1,1
"84",209,17,"bbs_rtrg_209_17",TRUE,0,0,27,840,"FLATTOPS",1,39.6468148,-107.6169662,62,16,1,1
"85",221,17,"bbs_rtrg_221_17",TRUE,0,0,27,840,"NEEGRANDE",1,38.2958688,-102.7381166,36,18,1,1
"86",302,17,"bbs_rtrg_302_17",TRUE,0,0,23,840,"LAY",1,40.6681037,-107.8616029,86,10,1,1
"87",309,17,"bbs_rtrg_309_17",TRUE,0,0,25,840,"RAGGED MTN.",1,39.0799673,-107.3678337,62,16,1,1
"88",312,17,"bbs_rtrg_312_17",TRUE,0,0,24,840,"BENNETT",1,39.7238537,-104.3773535,36,18,1,1
"89",315,17,"bbs_rtrg_315_17",TRUE,0,0,24,840,"BASIN",1,38.0687767,-108.4608309,87,16,1,1
"90",318,17,"bbs_rtrg_318_17",TRUE,0,0,25,840,"GRIBBLES PRK",1,38.6441327,-105.7794649,62,16,1,1
"91",367,17,"bbs_rtrg_367_17",TRUE,0,0,21,840,"COCHETOPA PASS",1,38.0540197,-106.8645557,62,16,1,1
"92",372,17,"bbs_rtrg_372_17",TRUE,0,0,21,840,"HAYCAMP MESA",1,37.4432477,-108.4743579,62,16,1,1
"93",9,18,"bbs_rtrg_9_18",TRUE,0,0,47,840,"SHERMAN",1,41.5387127,-73.5009399,12,30,1,1
"94",12,18,"bbs_rtrg_12_18",TRUE,0,0,38,840,"WARREN",0,41.7487967,-73.3502269,12,30,1,1
"95",102,18,"bbs_rtrg_102_18",TRUE,0,0,25,840,"NEW HARTFORD",1,41.7378788,-72.9270422,12,14,1,1
"96",109,21,"bbs_rtrg_109_21",TRUE,0,0,27,840,"GEORGETOWN",1,38.7324037,-75.4638509,4,30,1,1
"97",51,25,"bbs_rtrg_51_25",TRUE,0,0,17,840,"SANTA ROSA",0,30.3334747,-87.1400909,3,27,1,1
"98",67,25,"bbs_rtrg_67_25",TRUE,0,0,32,840,"PENNYWASH CR",1,28.1011187,-80.8980039,2,31,1,1
"99",72,25,"bbs_rtrg_72_25",TRUE,0,0,13,840,"GARDNER",0,27.4266407,-81.5833199,2,31,1,1
"100",81,25,"bbs_rtrg_81_25",TRUE,0,0,32,840,"DEVILS GARDN",1,26.5587549,-81.126711,2,31,1,1
"101",87,25,"bbs_rtrg_87_25",TRUE,0,0,32,840,"WEAVER STN",1,25.9322682,-81.6570333,1,31,1,1
