"k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps","dataset"
5,4,4,100,20,-83.8778691880591,2,"342, 35","all_evals_toy_rodents"
5,4,4,100,20,-48.5611953698679,2,"331, 376","all_evals_toy_rodents"
5,4,4,100,20,-74.1301001198888,2,"418, 411","all_evals_toy_rodents"
5,4,4,100,20,-53.7774019605835,2,"364, 66","all_evals_toy_rodents"
5,4,4,100,20,-83.1469716248081,2,"359, 296","all_evals_toy_rodents"
5,4,4,100,20,-52.2732773159107,2,"171, 246","all_evals_toy_rodents"
5,4,4,100,20,-44.3169824835379,2,"214, 93","all_evals_toy_rodents"
5,4,4,100,20,-67.0656199494938,2,"303, 219","all_evals_toy_rodents"
5,4,4,100,20,-39.9879983785747,2,"313, 38","all_evals_toy_rodents"
5,4,4,100,20,-52.3958902351161,2,"54, 285","all_evals_toy_rodents"
5,4,4,100,20,-55.4110101597488,2,"94, 176","all_evals_toy_rodents"
6,4,4,100,20,-65.3909259629679,2,"296, 246","all_evals_toy_rodents"
6,4,4,100,20,-54.3536254906137,2,"344, 227","all_evals_toy_rodents"
6,4,4,100,20,-107.480534275624,2,"434, 212","all_evals_toy_rodents"
6,4,4,100,20,-62.5735941817902,2,"236, 61","all_evals_toy_rodents"
6,4,4,100,20,-46.6797010261293,2,"167, 379","all_evals_toy_rodents"
6,4,4,100,20,-55.0488815307797,2,"250, 215","all_evals_toy_rodents"
6,4,4,100,20,-93.5350910137938,2,"253, 359","all_evals_toy_rodents"
6,4,4,100,20,-62.8279679607928,2,"165, 363","all_evals_toy_rodents"
6,4,4,100,20,-55.8573216630768,2,"267, 301","all_evals_toy_rodents"
6,4,4,100,20,-96.6431455135569,2,"342, 35","all_evals_toy_rodents"
6,4,4,100,20,-54.8977224528899,2,"331, 376","all_evals_toy_rodents"
6,4,4,100,20,-63.7575735642667,2,"418, 411","all_evals_toy_rodents"
6,4,4,100,20,-57.3689347022501,2,"364, 66","all_evals_toy_rodents"
6,4,4,100,20,-91.7175287925866,2,"359, 296","all_evals_toy_rodents"
6,4,4,100,20,-39.2474717871761,2,"171, 246","all_evals_toy_rodents"
6,4,4,100,20,-38.5734081914993,2,"214, 93","all_evals_toy_rodents"
6,4,4,100,20,-71.6261907572106,2,"303, 219","all_evals_toy_rodents"
6,4,4,100,20,-39.8182851433608,2,"313, 38","all_evals_toy_rodents"
6,4,4,100,20,-56.0437900779804,2,"54, 285","all_evals_toy_rodents"
6,4,4,100,20,-55.7961402954602,2,"94, 176","all_evals_toy_rodents"
7,4,5,100,20,-72.6885178784508,2,"296, 246","all_evals_toy_rodents"
7,4,5,100,20,-60.0266239450301,2,"344, 227","all_evals_toy_rodents"
7,4,5,100,20,-115.76036530321,2,"434, 212","all_evals_toy_rodents"
