"","k","seed","ncpts","nit","aicc"
"1",2,2,0,100,33.7195329356351
"2",3,2,0,100,54.6688867543706
"3",4,2,0,100,70.4447717550311
"4",5,2,0,100,81.2030643455319
"5",2,4,0,100,34.0303166300281
"6",3,4,0,100,55.0929262889984
"7",4,4,0,100,69.7941756233032
"8",5,4,0,100,82.9971127826887
"9",2,2,1,100,31.2938363955845
"10",3,2,1,100,50.4524209380539
"11",4,2,1,100,72.1682754165044
"12",5,2,1,100,86.4930660764887
"13",2,4,1,100,31.9805122253131
"14",3,4,1,100,52.7815977178638
"15",4,4,1,100,69.7203861981578
"16",5,4,1,100,93.006263445425
"17",2,2,2,100,35.6632652423833
"18",3,2,2,100,55.5966055733949
"19",4,2,2,100,88.5185584224989
"20",5,2,2,100,124.6998500433
"21",2,4,2,100,35.6330049845327
"22",3,4,2,100,58.7083159845849
"23",4,4,2,100,84.0388178578704
"24",5,4,2,100,132.460730716023
