"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"93",2,4,1,100,10,-495.619974413462,2,"18, 12"
"94",2,4,1,100,10,-490.899858762686,2,"7, 2"
"95",2,4,1,100,10,-543.937203809414,2,"5, 11"
"96",2,4,1,100,10,-536.161118905985,2,"11, 3"
"97",2,4,1,100,10,-469.048480720937,2,"11, 2"
"98",2,4,1,100,10,-467.493690223146,2,"12, 2"
"99",2,4,1,100,10,-574.008647378732,2,"7, 13"
"100",2,4,1,100,10,-482.419379254221,2,"11, 22"
"101",3,4,2,100,10,-512.710534701618,2,"8, 20"
"102",3,4,2,100,10,-462.657839404729,2,"22, 3"
"103",3,4,2,100,10,-446.128505327972,2,"18, 12"
"104",3,4,2,100,10,-574.957063080543,2,"7, 2"
"105",3,4,2,100,10,-456.335243409843,2,"5, 11"
"106",3,4,2,100,10,-476.986669075318,2,"11, 3"
"107",3,4,2,100,10,-397.729643777605,2,"11, 2"
"108",3,4,2,100,10,-385.167291168243,2,"12, 2"
"109",3,4,2,100,10,-565.655918602008,2,"7, 13"
"110",3,4,2,100,10,-412.638898658371,2,"11, 22"
"111",4,4,2,100,10,-508.010505552234,2,"8, 20"
"112",4,4,2,100,10,-530.348541624905,2,"22, 3"
"113",4,4,2,100,10,-586.091838612555,2,"18, 12"
"114",4,4,2,100,10,-592.968569350983,2,"7, 2"
"115",4,4,2,100,10,-476.578044046732,2,"5, 11"
"116",4,4,2,100,10,-536.94348430762,2,"11, 3"
"117",4,4,2,100,10,-425.553840687164,2,"11, 2"
"118",4,4,2,100,10,-421.38764076212,2,"12, 2"
"119",4,4,2,100,10,-532.759147084353,2,"7, 13"
"120",4,4,2,100,10,-449.672894049459,2,"11, 22"
"121",5,4,1,100,10,-564.350369973702,2,"8, 20"
"122",5,4,1,100,10,-585.374826502135,2,"22, 3"
"123",5,4,1,100,10,-547.725117235145,2,"18, 12"
"124",5,4,1,100,10,-577.777318187534,2,"7, 2"
"125",5,4,1,100,10,-539.582735917337,2,"5, 11"
"126",5,4,1,100,10,-591.506021470877,2,"11, 3"
"127",5,4,1,100,10,-490.328297910584,2,"11, 2"
"128",5,4,1,100,10,-469.983235731136,2,"12, 2"
"129",5,4,1,100,10,-609.80608684456,2,"7, 13"
"130",5,4,1,100,10,-521.391363819757,2,"11, 22"
"131",6,4,1,100,10,-635.897347171866,2,"8, 20"
"132",6,4,1,100,10,-562.159652405454,2,"22, 3"
